lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	M_scale	Final_Accuracy	Sparsity	Tot_time	Pr_time	Accuracy	Train_loss
0.1	0.8	0.01	300	200	128	0.0001	0.9	0.0005	1.0	95.06	9420105	1:47:24.783095	1:19:10.416487	94.55	0.1189
0.1	0.8	0.1	300	200	128	0.0001	0.9	0.0005	1.0	95.03	9412078	1:47:39.896500	1:19:25.627669	94.82	0.1108
0.1	0.8	0.3	300	200	128	0.0001	0.9	0.0005	1.0	95.24	9125688	1:48:10.772900	1:19:53.148928	95.0	0.1095
0.1	1.0	0.01	300	200	128	0.0001	0.9	0.0005	1.0	95.07	9604920	1:47:55.174859	1:19:43.292081	94.96	0.1308
0.1	1.0	0.1	300	200	128	0.0001	0.9	0.0005	1.0	95.1	9712787	1:48:01.976121	1:19:43.605912	94.75	0.117
0.1	1.0	0.3	300	200	128	0.0001	0.9	0.0005	1.0	94.75	9330138	1:47:52.700504	1:19:41.204280	94.44	0.1278
0.1	1.2	0.01	300	200	128	0.0001	0.9	0.0005	1.0	94.65	9891172	1:48:22.376369	1:19:33.160979	94.4	0.1299
0.1	1.2	0.1	300	200	128	0.0001	0.9	0.0005	1.0	94.68	9771246	1:47:49.401298	1:19:38.806361	94.49	0.1332
0.1	1.2	0.3	300	200	128	0.0001	0.9	0.0005	1.0	95.05	9558099	1:47:51.227093	1:19:41.388000	94.8	0.1302
0.1	1.4	0.01	300	200	128	0.0001	0.9	0.0005	1.0	94.66	10008403	1:45:29.787732	1:17:50.902419	94.52	0.1369
0.1	1.4	0.1	300	200	128	0.0001	0.9	0.0005	1.0	94.59	9994889	1:45:21.185463	1:17:37.097988	94.47	0.1361
0.1	1.4	0.3	300	200	128	0.0001	0.9	0.0005	1.0	95.01	9641565	1:47:07.710888	1:19:22.004698	94.88	0.1428
0.1	1.6	0.01	300	200	128	0.0001	0.9	0.0005	1.0	94.48	10047827	1:45:09.005555	1:17:33.217256	94.12	0.1486
0.1	1.6	0.1	300	200	128	0.0001	0.9	0.0005	1.0	94.39	10031049	1:45:35.292484	1:17:53.197711	94.17	0.1456
0.1	1.6	0.3	300	200	128	0.0001	0.9	0.0005	1.0	94.42	9877486	1:45:20.687927	1:17:44.712916	94.37	0.1437
0.1	1.8	0.01	300	200	128	0.0001	0.9	0.0005	1.0	93.76	10176969	1:45:20.756592	1:17:43.504861	93.59	0.1348
0.1	1.8	0.1	300	200	128	0.0001	0.9	0.0005	1.0	94.42	10005102	1:45:33.987919	1:17:52.455493	94.1	0.1501
0.1	1.8	0.3	300	200	128	0.0001	0.9	0.0005	1.0	94.59	9912760	1:45:29.407645	1:17:52.625760	94.15	0.15
