lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	M_scale	Sparsity	Final_Accuracy	Tot_time	Pr_time	Accuracy	Train_loss
0.1	0.2	0.1	300	200	128	0.05	0.9	0.0	1.0	18917	91.54	1:29:54.958295	1:10:25.306933	91.34	0.219
0.1	0.5	0.1	300	200	128	0.05	0.9	0.0	1.0	119854	91.27	1:31:48.116836	1:11:50.569006	90.82	0.2703
0.1	1.9	0.1	300	200	128	0.05	0.9	0.0	1.0	218944	88.51	1:33:01.150513	1:12:59.457886	87.6	0.4842
0.1	0.1	0.05	300	200	128	0.05	0.9	0.0	1.0	578	90.81	1:35:05.206748	1:14:00.561333	90.68	0.1696
0.1	0.2	0.1	300	200	128	0.05	0.9	0.0	1.0	26681	91.66	1:34:34.512492	1:13:28.421842	91.46	0.2193
0.1	0.2	0.05	300	200	128	0.05	0.9	0.0	1.0	5780	91.33	1:36:46.496096	1:15:26.794725	91.23	0.2247
0.1	0.3	0.05	300	200	128	0.05	0.9	0.0	1.0	31710	91.5	1:37:54.875015	1:16:20.314950	91.06	0.2329
0.1	0.4	0.05	300	200	128	0.05	0.9	0.0	1.0	43693	91.19	1:37:46.681796	1:16:10.199761	91.06	0.252
0.1	0.5	0.1	300	200	128	0.05	0.9	0.0	1.0	118256	91.53	1:35:37.660904	1:14:44.502728	91.38	0.2708
0.1	0.5	0.1	300	200	128	0.05	0.9	0.0005	1.0	126779	92.06	1:34:32.984302	1:12:39.166020	91.65	0.2062
0.1	0.05	0.05	300	200	128	0.05	0.9	0.0	1.0	0	90.37	1:36:29.193353	1:15:25.798974	90.3	0.1079
0.1	0.8	0.0	300	200	128	0.05	0.9	0.0	1.0	68671	90.96	1:28:04.144588	1:07:48.996836	90.51	0.2468
