lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	M_scale	Sparsity	Final_Accuracy	Tot_time	Pr_time	Accuracy	Train_loss
0.1	1.0	0.1	300	200	128	0.05	0.9	0.0005	1.0	22660675	94.61	5:08:41.603336	3:51:34.107430	94.31	0.073
0.1	1.0	0.01	300	200	128	0.05	0.9	0.0005	1.0	22678248	94.22	5:06:49.894648	3:50:20.086073	94.02	0.076
0.1	1.0	0.001	300	200	128	0.05	0.9	0.0005	1.0	22685708	93.95	5:05:30.083498	3:49:05.998923	93.54	0.0954
0.1	1.0	0.0001	300	200	128	0.05	0.9	0.0005	1.0	22745124	94.51	5:06:54.318115	3:50:20.912175	93.93	0.075
0.1	1.0	0.5	300	200	128	0.05	0.9	0.0005	1.0	21800173	94.96	5:05:57.948444	3:49:18.395171	94.3	0.066
0.1	1.3	0.1	300	200	128	0.05	0.9	0.0005	1.0	22790014	94.24	5:08:03.666479	3:51:33.260853	94.19	0.0964
0.1	1.3	0.01	300	200	128	0.05	0.9	0.0005	1.0	22858124	94.02	5:04:47.911955	3:48:26.740984	93.84	0.0958
0.1	1.3	0.001	300	200	128	0.05	0.9	0.0005	1.0	22954087	94.05	5:04:47.132262	3:48:32.919371	93.62	0.0939
0.1	1.3	0.0001	300	200	128	0.05	0.9	0.0005	1.0	22931931	94.36	5:04:04.692433	3:47:36.124720	82.39	0.0825
0.1	1.3	0.5	300	200	128	0.05	0.9	0.0005	1.0	22346731	94.45	5:07:27.247759	3:50:47.432296	92.62	0.0754
0.1	1.6	0.1	300	200	128	0.05	0.9	0.0005	1.0	23101015	93.18	5:01:50.902285	3:45:30.013648	92.75	0.134
0.1	1.6	0.01	300	200	128	0.05	0.9	0.0005	1.0	23145551	93.54	5:03:15.714944	3:46:38.563425	93.14	0.1078
0.1	1.6	0.001	300	200	128	0.05	0.9	0.0005	1.0	22977664	93.8	5:02:09.227080	3:45:42.634363	93.06	0.1171
0.1	1.6	0.0001	300	200	128	0.05	0.9	0.0005	1.0	23197453	93.49	5:02:18.320882	3:45:55.970777	93.19	0.1278
0.1	1.6	0.5	300	200	128	0.05	0.9	0.0005	1.0	22495390	94.37	5:00:54.872535	3:44:25.633687	93.3	0.097
0.1	1.9	0.1	300	200	128	0.05	0.9	0.0005	1.0	23149298	93.21	5:03:02.519138	3:46:45.247013	85.34	0.1489
0.1	1.9	0.01	300	200	128	0.05	0.9	0.0005	1.0	23089090	93.2	5:00:56.177692	3:44:38.489499	92.97	0.1601
0.1	1.9	0.001	300	200	128	0.05	0.9	0.0005	1.0	23106922	93.66	5:00:11.156633	3:44:01.650343	92.01	0.1408
0.1	1.9	0.0001	300	200	128	0.05	0.9	0.0005	1.0	23148306	93.21	5:00:53.107111	3:44:40.298342	92.71	0.171
0.1	1.9	0.5	300	200	128	0.05	0.9	0.0005	1.0	22895593	93.86	5:02:56.288203	3:46:29.278518	91.99	0.1031
