lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	M_scale	Sparsity	Final_Accuracy	Tot_time	Pr_time	Accuracy	Train_loss
0.1	1.0	0.1	300	200	128	0.05	0.9	0.0005	1.0	14049197	93.63	1:14:25.511613	0:56:14.971163	93.2	0.0935
0.1	1.0	0.01	300	200	128	0.05	0.9	0.0005	1.0	14065859	93.23	1:13:29.796335	0:55:16.840592	92.89	0.0901
0.1	1.0	0.001	300	200	128	0.05	0.9	0.0005	1.0	14034326	93.5	1:12:44.112363	0:54:58.719568	92.99	0.0941
0.1	1.0	0.0001	300	200	128	0.05	0.9	0.0005	1.0	14074835	93.36	1:13:56.809846	0:55:35.943238	93.02	0.0983
0.1	1.0	0.5	300	200	128	0.05	0.9	0.0005	1.0	13647661	93.93	1:12:50.214503	0:54:50.122015	93.61	0.0883
0.1	1.3	0.1	300	200	128	0.05	0.9	0.0005	1.0	14122070	93.39	1:13:42.384615	0:55:34.206754	93.05	0.1139
0.1	1.3	0.01	300	200	128	0.05	0.9	0.0005	1.0	14170446	93.22	1:13:27.637014	0:55:38.586526	93.0	0.1221
0.1	1.3	0.001	300	200	128	0.05	0.9	0.0005	1.0	14163894	93.21	1:14:08.752925	0:55:51.240779	92.97	0.1228
0.1	1.3	0.0001	300	200	128	0.05	0.9	0.0005	1.0	14153691	93.21	1:14:16.245234	0:56:12.590024	93.04	0.1271
0.1	1.3	0.5	300	200	128	0.05	0.9	0.0005	1.0	13788219	93.76	1:13:13.487126	0:55:28.070873	93.22	0.1053
0.1	1.6	0.1	300	200	128	0.05	0.9	0.0005	1.0	14179500	93.56	1:13:23.955017	0:54:58.391318	93.21	0.1341
0.1	1.6	0.01	300	200	128	0.05	0.9	0.0005	1.0	14258614	92.95	1:12:46.167494	0:54:38.970192	92.62	0.1466
0.1	1.6	0.001	300	200	128	0.05	0.9	0.0005	1.0	14224241	93.4	1:12:42.571055	0:54:22.528548	92.78	0.1508
0.1	1.6	0.0001	300	200	128	0.05	0.9	0.0005	1.0	14266694	93.44	1:12:15.865928	0:54:17.981422	93.07	0.1545
0.1	1.6	0.5	300	200	128	0.05	0.9	0.0005	1.0	13875206	93.68	1:15:47.749354	0:57:28.295676	93.31	0.1217
0.1	1.9	0.1	300	200	128	0.05	0.9	0.0005	1.0	14217985	93.26	1:12:41.702232	0:54:47.125017	92.92	0.1586
0.1	1.9	0.01	300	200	128	0.05	0.9	0.0005	1.0	14277624	93.0	1:13:38.938246	0:55:30.518253	92.45	0.1718
0.1	1.9	0.001	300	200	128	0.05	0.9	0.0005	1.0	14260683	92.93	1:12:54.595781	0:55:04.425774	92.47	0.1757
0.1	1.9	0.0001	300	200	128	0.05	0.9	0.0005	1.0	14262558	92.88	1:14:14.189332	0:56:02.577045	92.69	0.1812
0.1	1.9	0.5	300	200	128	0.05	0.9	0.0005	1.0	14011614	93.49	1:14:04.139370	0:56:03.532994	93.22	0.1323
0.1	1.9	0.5	300	200	128	0.05	0.9	0.0005	1.0	13945736	93.53	1:12:46.913890	0:54:24.039521	93.29	0.1356
