lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	M_scale	Sparsity	Final_Accuracy	Tot_time	Pr_time	Accuracy	Train_loss
0.1	0.01	0.4	300	200	128	0.05	0.9	0.0005	1.0	9200303	94.16	1:14:47.973973	0:56:20.929754	93.99	0.0039
0.1	0.01	0.8	300	200	128	0.05	0.9	0.0005	1.0	5845243	94.02	1:14:21.688605	0:56:05.972777	93.87	0.0032
0.1	0.05	0.3	300	200	128	0.05	0.9	0.0005	1.0	11787381	93.87	1:13:03.441883	0:55:04.673149	93.76	0.0103
0.1	0.05	0.4	300	200	128	0.05	0.9	0.0005	1.0	11734794	94.06	1:14:06.983772	0:55:55.777603	93.65	0.0104
0.1	0.05	0.5	300	200	128	0.05	0.9	0.0005	1.0	11668065	94.07	1:13:17.202282	0:55:12.468564	93.66	0.01
0.1	0.05	0.8	300	200	128	0.05	0.9	0.0005	1.0	10934884	93.96	1:15:45.787926	0:57:08.319505	93.77	0.0088
0.1	0.1	0.3	300	200	128	0.05	0.9	0.0005	1.0	12458188	94.02	1:13:17.989103	0:55:04.147286	93.88	0.0161
0.1	0.1	0.5	300	200	128	0.05	0.9	0.0005	1.0	12044579	94.31	1:13:38.079782	0:55:24.931929	94.0	0.0164
0.1	0.2	0.3	300	200	128	0.05	0.9	0.0005	1.0	12906248	93.7	1:13:53.420383	0:55:35.315777	93.71	0.0258
0.1	0.2	0.5	300	200	128	0.05	0.9	0.0005	1.0	12660692	93.89	1:13:06.757536	0:54:56.547605	93.73	0.0271
0.1	0.3	0.3	300	200	128	0.05	0.9	0.0005	1.0	13066039	94.07	1:13:07.720994	0:54:56.612735	93.85	0.0362
0.1	0.3	0.5	300	200	128	0.05	0.9	0.0005	1.0	12918202	93.95	1:13:57.294307	0:55:12.463408	93.73	0.0369
0.1	0.4	0.5	300	200	128	0.05	0.9	0.0005	1.0	13083287	94.11	1:15:18.605852	0:56:30.090047	93.91	0.0454
0.1	0.6	0.5	300	200	128	0.05	0.9	0.0005	1.0	13307068	93.69	1:16:45.975575	0:57:35.398098	93.37	0.0615
0.1	0.8	0.5	300	200	128	0.05	0.9	0.0005	1.0	13560751	93.99	1:16:26.775189	0:57:09.776126	93.7	0.0732
