lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	M_scale	Sparsity	Final_Accuracy	Tot_time	Pr_time	Accuracy	Train_loss
0.01	0.1	0.001	300	200	64	0.05	0.9	0.0005	1.0	0	68.0	2:40:32.936207	2:04:34.119416	67.69	0.4963
0.01	0.1	0.001	300	200	64	0.05	0.9	0.0005	1.0	0	67.1	2:39:11.523513	2:03:34.980867	66.7	0.4457
0.01	0.1	0.1	300	200	64	0.05	0.9	0.0005	1.0	0	68.09	2:40:48.218594	2:04:57.068136	67.63	0.5204
0.01	0.1	0.5	300	200	64	0.05	0.9	0.0005	1.0	0	68.61	2:38:27.428117	2:02:59.245403	68.29	0.5791
0.01	0.1	0.1	300	200	64	0.05	0.9	0.0005	1.0	0	67.37	2:39:01.655203	2:03:26.012264	66.93	0.4676
0.01	0.1	0.5	300	200	64	0.05	0.9	0.0005	1.0	0	67.88	2:40:58.638951	2:04:31.623893	67.52	0.5212
0.01	0.2505	0.002	300	200	64	0.05	0.9	0.0005	5.0	0	68.87	2:32:45.701319	1:58:10.370256	68.6	0.4716
0.01	0.3	0.001	300	200	64	0.05	0.9	0.0005	1.0	0	67.62	2:35:51.779619	2:01:54.142857	67.16	0.5168
0.01	0.3	0.1	300	200	64	0.05	0.9	0.0005	1.0	0	68.25	2:36:28.511010	2:02:01.872486	67.65	0.6237
0.01	0.3	0.5	300	200	64	0.05	0.9	0.0005	1.0	0	68.33	2:42:08.511238	2:05:17.958936	67.95	0.7308
0.01	0.5	0.001	300	200	64	0.05	0.9	0.0005	1.0	0	68.43	2:41:17.154213	2:05:07.493096	68.25	0.6345
0.01	0.5	0.001	300	200	64	0.05	0.9	0.0005	1.0	0	68.43	2:39:36.437302	2:03:55.324805	67.93	0.5817
0.01	0.5	0.1	300	200	64	0.05	0.9	0.0005	1.0	0	68.73	2:41:48.765930	2:05:43.378073	68.53	0.7754
0.01	0.5	0.1	300	200	64	0.05	0.9	0.0005	1.0	0	68.28	2:39:13.767316	2:03:32.611983	67.97	0.7211
0.01	0.5	0.3	300	200	64	0.05	0.9	0.0005	1.0	1156	68.63	2:32:39.801334	1:57:20.027530	68.03	0.9363
0.01	0.5	0.5	300	200	64	0.05	0.9	0.0005	1.0	1329	68.94	2:32:32.369410	1:57:44.845874	68.91	0.9621
0.01	0.5	0.5	300	200	64	0.05	0.9	0.0005	1.0	0	69.23	2:38:23.124602	2:03:02.071865	68.98	0.935
0.01	0.5	0.5	300	200	64	0.05	0.9	0.0005	1.0	578	68.06	2:39:52.930827	2:04:10.118437	68.27	0.8994
0.01	0.5	0.7	300	200	64	0.05	0.9	0.0005	1.0	0	69.1	2:40:30.531342	2:04:09.037372	68.8	0.9453
0.01	0.65	0.1	300	200	64	0.05	0.9	0.0005	1.0	0	69.06	2:43:25.792184	2:06:29.561940	68.86	0.8791
0.01	0.65	0.3	300	200	64	0.05	0.9	0.0005	1.0	5780	69.07	2:45:42.502492	2:09:10.949632	68.74	1.0299
0.01	0.65	0.5	300	200	64	0.05	0.9	0.0005	1.0	7687	69.16	2:35:16.243601	1:58:52.090960	68.79	1.0625
0.01	0.65	0.7	300	200	64	0.05	0.9	0.0005	1.0	578	68.86	2:33:09.604178	1:57:44.051682	68.7	1.0278
0.01	0.7	0.001	300	200	64	0.05	0.9	0.0005	1.0	0	68.14	2:41:56.941222	2:04:18.195487	67.85	0.6406
0.01	0.7	0.1	300	200	64	0.05	0.9	0.0005	1.0	578	68.2	2:44:31.350707	2:07:26.420212	67.94	0.8323
0.01	0.7	0.3	300	200	64	0.05	0.9	0.0005	1.0	11560	68.98	2:41:59.523949	2:05:57.476906	68.71	1.0528
0.01	0.7	0.3	300	200	64	0.05	0.9	0.0005	1.0	1156	69.85	2:31:36.032849	1:56:12.131044	69.34	0.8039
0.01	0.7	0.5	300	200	64	0.05	0.9	0.0005	1.0	4046	68.79	2:35:12.145248	2:01:13.900225	68.27	1.0256
0.01	0.8	0.1	300	200	64	0.05	0.9	0.0005	1.0	2890	69.71	2:33:52.272535	1:58:30.311134	69.41	0.9426
0.01	0.8	0.3	300	200	64	0.05	0.9	0.0005	1.0	19652	69.18	2:31:33.655986	1:56:44.964404	68.71	1.0986
0.01	0.8	0.5	300	200	64	0.05	0.9	0.0005	1.0	16184	69.03	2:32:54.453366	1:57:25.049798	68.63	1.1479
0.01	0.8	0.7	300	200	64	0.05	0.9	0.0005	1.0	1156	69.34	2:36:50.066377	2:01:59.078333	68.58	1.1136
0.01	0.95	0.1	300	200	64	0.05	0.9	0.0005	1.0	7514	69.26	2:33:58.065012	1:58:22.797166	68.83	1.013
0.01	0.95	0.3	300	200	64	0.05	0.9	0.0005	1.0	32878	69.16	2:31:20.425153	1:56:30.356358	68.69	1.1741
0.01	0.95	0.5	300	200	64	0.05	0.9	0.0005	1.0	29305	68.41	2:31:19.179424	1:56:33.855256	67.82	1.2156
0.01	0.95	0.7	300	200	64	0.05	0.9	0.0005	1.0	5876	68.63	2:33:13.596150	1:57:50.234758	67.83	1.1804
0.01	0.9	0.3	300	200	64	0.05	0.9	0.0005	1.0	6070	69.37	2:32:41.425178	1:58:10.980869	68.63	0.8557
0.01	1.0	0.5	300	200	128	0.05	0.9	0.0005	1.0	10982	67.4	1:31:41.065128	1:10:09.829771	67.06	1.1617
0.01	1.0	0.5	300	200	128	0.05	0.9	0.0005	1.0	9248	68.25	1:33:44.436604	1:11:51.546226	68.14	1.1488
0.01	1.0	0.5	300	200	64	0.05	0.9	0.0005	1.0	22832	68.38	2:34:58.040808	1:59:34.332639	68.07	1.2237
0.01	1.0	0.9	300	200	128	0.05	0.9	0.0005	1.0	0	67.88	1:30:09.984961	1:09:00.888134	67.85	0.9803
0.01	1.1	0.3	300	200	64	0.05	0.9	0.0005	1.0	14684	69.33	2:35:59.631658	1:58:43.256790	67.79	0.9079
0.01	1.3	0.3	300	200	64	0.05	0.9	0.0005	1.0	38602	69.56	2:30:37.989528	1:54:36.599445	68.51	0.958
0.01	1.9	0.999	300	200	128	0.05	0.9	0.0005	1.0	0	67.63	1:32:49.648175	1:10:56.286602	67.42	1.0618
0.01	1.9	0.999	300	200	64	0.05	0.9	0.0005	1.0	10386	67.6	2:37:27.247446	2:01:08.275619	67.28	1.1661
0.1	0.1	0.001	300	200	64	0.05	0.9	0.0005	1.0	18195	68.86	2:41:16.595008	2:05:05.080964	68.52	0.6206
0.1	0.1	0.001	300	200	64	0.05	0.9	0.0005	1.0	19354	68.03	2:39:33.653865	2:03:51.492753	67.83	0.5976
0.1	0.1	0.1	300	200	64	0.05	0.9	0.0005	1.0	7223	68.61	2:41:06.309236	2:05:12.796623	68.38	0.6396
0.1	0.1	0.1	300	200	64	0.05	0.9	0.0005	1.0	15365	68.59	2:40:06.100906	2:04:12.691280	67.84	0.6384
0.1	0.1	0.5	300	200	64	0.05	0.9	0.0005	1.0	20352	68.82	2:41:27.485391	2:05:34.281556	68.62	0.7249
0.1	0.1	0.5	300	200	64	0.05	0.9	0.0005	1.0	13007	68.8	2:39:30.071125	2:03:35.816459	68.05	0.7119
0.1	0.2	0.0001	50	1	64	0.05	0.9	0.0	1.0	5194	59.82	0:22:04.047748	0:21:53.928382	60.48	1.1278
0.1	0.2	0.05	50	1	64	0.05	0.9	0.0	1.0	2312	57.39	0:22:11.133793	0:22:00.833027	59.08	1.5631
0.1	0.2	0.5	50	1	64	0.05	0.9	0.0	1.0	1734	48.39	0:22:17.622538	0:22:07.457190	50.41	2.2429
0.1	0.3	0.001	300	200	64	0.05	0.9	0.0005	1.0	74772	67.89	2:39:43.423033	2:03:55.700139	66.2	0.8351
0.1	0.3	0.1	300	200	64	0.05	0.9	0.0005	1.0	63044	68.95	2:40:19.860086	2:04:25.111566	67.85	0.897
0.1	0.3	0.5	300	200	64	0.05	0.9	0.0005	1.0	77922	68.11	2:40:51.531698	2:04:40.873996	66.07	1.0835
0.1	0.5	0.001	300	200	64	0.05	0.9	0.0005	1.0	137303	65.91	2:41:13.970003	2:05:36.758760	65.67	1.0808
0.1	0.5	0.001	300	200	64	0.05	0.9	0.0005	1.0	140275	65.66	2:39:46.215381	2:03:57.691781	64.36	1.1092
0.1	0.5	0.1	300	200	64	0.05	0.9	0.0005	1.0	129405	66.22	2:41:19.826995	2:05:09.811954	65.48	1.161
0.1	0.5	0.1	300	200	64	0.05	0.9	0.0005	1.0	126781	66.31	2:39:43.379385	2:03:43.443239	64.37	1.2094
0.1	0.5	0.5	300	200	64	0.05	0.9	0.0005	1.0	174194	61.91	2:41:56.968425	2:05:37.385820	60.84	1.4494
0.1	0.5	0.5	300	200	64	0.05	0.9	0.0005	1.0	156325	65.92	2:39:57.489511	2:03:59.246143	63.25	1.3894
0.1	0.7	0.1	300	200	64	0.05	0.9	0.0005	1.0	173329	63.62	2:48:24.266693	2:10:33.126835	61.5	1.4291
0.1	0.7	0.5	300	200	64	0.05	0.9	0.0005	1.0	205348	59.74	2:47:41.863085	2:08:58.982798	56.81	1.7461
0.1	1.0	0.5	300	200	64	0.05	0.9	0.0005	1.0	230836	55.34	2:37:41.898641	2:02:13.013383	48.09	1.8938
0.1	0.3	0.1	300	200	64	0.05	0.9	0.0005	1.0	63044	68.95	2:40:19.860086	2:04:25.111566	67.85	0.897
0.1	0.3	0.001	300	200	64	0.05	0.9	0.0005	1.0	74772	67.89	2:39:43.423033	2:03:55.700139	66.2	0.8351
0.01	0.3	0.1	300	200	64	0.05	0.9	0.0005	1.0	0	68.25	2:36:28.511010	2:02:01.872486	67.65	0.6237
0.01	0.3	0.001	300	200	64	0.05	0.9	0.0005	1.0	0	67.62	2:35:51.779619	2:01:54.142857	67.16	0.5168
0.1	0.3	0.5	300	200	64	0.05	0.9	0.0005	1.0	77922	68.11	2:40:51.531698	2:04:40.873996	66.07	1.0835
