lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	M_scale	Sparsity	Final_Accuracy	Tot_time	Pr_time	Accuracy	Train_loss
0.01	0.8	0.15	300	200	64	0.05	0.9	0.0005	1.0	6358	69.78	2:39:13.657334	2:03:16.435316	69.17	1.0054
0.01	0.8	0.3	300	200	64	0.05	0.9	0.0005	1.0	19074	69.05	2:41:20.074933	2:04:24.504525	68.56	1.104
0.01	0.8	0.45	300	200	64	0.05	0.9	0.0005	1.0	17340	68.84	2:41:49.971919	2:05:00.013421	68.09	1.1294
0.01	0.8	0.6	300	200	64	0.05	0.9	0.0005	1.0	9826	68.89	2:41:44.075842	2:05:09.209770	68.45	1.1394
0.01	0.95	0.15	300	200	64	0.05	0.9	0.0005	1.0	15028	68.97	2:40:35.427929	2:03:49.758771	68.87	1.0681
0.01	0.95	0.3	300	200	64	0.05	0.9	0.0005	1.0	27262	68.67	2:41:34.096172	2:04:41.438794	67.98	1.1741
0.01	0.95	0.45	300	200	64	0.05	0.9	0.0005	1.0	26878	69.02	2:41:00.448675	2:04:09.951016	68.65	1.21
0.01	0.95	0.6	300	200	64	0.05	0.9	0.0005	1.0	16474	69.19	2:41:00.213314	2:04:11.116059	68.97	1.2163
0.01	1.1	0.15	300	200	64	0.05	0.9	0.0005	1.0	23237	69.38	2:40:44.696994	2:03:56.990482	69.31	1.1227
0.01	1.1	0.3	300	200	64	0.05	0.9	0.0005	1.0	39914	68.37	2:40:48.820910	2:04:00.740973	67.98	1.2455
0.01	1.1	0.45	300	200	64	0.05	0.9	0.0005	1.0	79829	67.77	2:41:06.802169	2:04:17.878763	67.25	1.3358
0.01	1.1	0.6	300	200	64	0.05	0.9	0.0005	1.0	27906	68.13	2:40:32.197024	2:03:43.004791	67.43	1.2828
0.01	1.25	0.15	300	200	64	0.05	0.9	0.0005	1.0	42009	69.13	2:40:54.339971	2:04:05.828595	68.66	1.2039
0.01	1.25	0.3	300	200	64	0.05	0.9	0.0005	1.0	66473	68.37	2:38:35.250112	2:02:08.847076	67.82	1.3134
0.01	1.25	0.45	300	200	64	0.05	0.9	0.0005	1.0	99668	66.84	2:41:10.233326	2:04:17.052334	66.4	1.4101
0.01	1.25	0.6	300	200	64	0.05	0.9	0.0005	1.0	85669	66.86	2:40:45.357264	2:03:57.005214	66.54	1.4003
0.1	0.05	0.15	300	200	64	0.05	0.9	0.0005	1.0	5473	68.58	2:32:01.009558	1:56:51.561570	68.41	0.5665
0.1	0.05	0.3	300	200	64	0.05	0.9	0.0005	1.0	8226	68.71	2:32:20.460860	1:56:39.843188	68.49	0.585
0.1	0.05	0.45	300	200	64	0.05	0.9	0.0005	1.0	7642	68.63	2:32:28.589399	1:57:01.533439	67.94	0.6203
0.1	0.05	0.6	300	200	64	0.05	0.9	0.0005	1.0	8615	68.6	2:32:35.072937	1:57:10.539799	67.71	0.611
0.1	0.1	0.15	300	200	64	0.05	0.9	0.0005	1.0	6101	68.9	2:36:27.312559	2:00:50.285241	68.47	0.6277
0.1	0.1	0.3	300	200	64	0.05	0.9	0.0005	1.0	13610	68.77	2:37:48.597579	2:01:51.426689	68.12	0.681
0.1	0.1	0.45	300	200	64	0.05	0.9	0.0005	1.0	15764	68.81	2:37:16.328925	2:01:32.072435	68.27	0.6935
0.1	0.1	0.6	300	200	64	0.05	0.9	0.0005	1.0	30355	68.56	2:38:53.189305	2:02:27.348562	67.54	0.7373
0.1	0.3	0.15	300	200	64	0.05	0.9	0.0005	1.0	61515	68.57	2:38:02.892204	2:02:08.532570	67.85	0.949
0.1	0.3	0.3	300	200	64	0.05	0.9	0.0005	1.0	65579	67.84	2:38:14.135508	2:02:11.750338	66.27	1.0284
0.1	0.3	0.45	300	200	64	0.05	0.9	0.0005	1.0	67812	67.72	2:33:21.248801	1:57:47.044831	66.61	1.0478
0.1	0.3	0.6	300	200	64	0.05	0.9	0.0005	1.0	79720	68.22	2:32:40.124225	1:57:12.310601	65.93	1.1108
0.1	0.8	0.15	300	200	64	0.05	0.9	0.0005	1.0	199560	62.12	2:35:36.402143	1:59:46.080333	59.64	1.5863
0.1	0.8	0.3	300	200	64	0.05	0.9	0.0005	1.0	198851	61.19	2:37:25.845226	2:01:25.295613	58.14	1.6571
0.1	0.8	0.45	300	200	64	0.05	0.9	0.0005	1.0	224290	57.26	2:37:09.234089	2:00:52.761289	54.34	1.8198
0.1	0.8	0.6	300	200	64	0.05	0.9	0.0005	1.0	219946	58.54	2:34:52.546163	1:59:18.929415	54.39	1.8277
0.1	0.95	0.15	300	200	64	0.05	0.9	0.0005	1.0	207816	60.47	2:38:16.960908	2:01:56.858886	57.64	1.7069
0.1	0.95	0.3	300	200	64	0.05	0.9	0.0005	1.0	222162	57.34	2:38:16.924930	2:01:49.833132	54.32	1.8498
0.1	0.95	0.45	300	200	64	0.05	0.9	0.0005	1.0	230025	56.39	2:38:35.659953	2:02:11.143801	52.98	1.8819
0.1	0.95	0.6	300	200	64	0.05	0.9	0.0005	1.0	225460	55.52	2:38:31.306358	2:02:04.750416	50.35	1.973
0.1	1.1	0.15	300	200	64	0.05	0.9	0.0005	1.0	224684	58.2	2:39:16.825575	2:02:40.259830	54.53	1.8773
0.1	1.1	0.3	300	200	64	0.05	0.9	0.0005	1.0	238832	53.8	2:39:16.073016	2:02:35.843471	50.3	1.9836
